Row Labels,BUKA-FUNG1,BUKA-FUNG2,Bukama,DILO-KAPA1,DILO-KAPA2,DILO-KOLW1,DILO-KOLW2,DILO-KOLW3,Dilolo,FUNG-KOLW,Fungurume,Kabalo,KABO-KONG1,KABO-MANO1,KABO-MANO2,Kabongo,KALE-KIAM1,KALE-MOBA1,KALE-MOBA2,Kalemie,Kambove,Kamina,KANI-KAMI1,Kaniama,Kapanga,Kasenga,KASU-MOKA1,Kasumbalesa,Kiambi,KILW-KASE1,Kilwa,Kipushi,Kolwezi,KONG-NYUN1,Kongolo,Likasi,Lubumbashi,Manono,Moba,MOKA-SAKA1,Mokambo,MULO-LIKA1,MULO-LIKA2,Mulongo,NYUN-KALE1,NYUN-KALE2,Nyunzu,PAND-MULO1,PAND-MULO2,PAND-MULO3,PAND-MULO4,Panda,Pweto,Sakania,Shinkolobwe,Songa,Pweto Boat,Kasenga Boat,Kalemie Boat,Kongolo Boat,Kiambi Boat,Kabalo Boat,Kilwa Boat,Moba Boat,Kabalo Air,Kalemie Air,Kamina Air,Kaniama Air,Kapanga Air,Kasenga Air,Kolwezi Air,Kongolo Air,Lubumbashi Air,Manono Air,Moba Air,Pweto Air
BUKA-FUNG1,0,4.05,2.333333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
BUKA-FUNG2,4.05,0,1000,1000,1000,1000,1000,1000,1000,1000,1.633333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,2.5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Bukama,2.333333333,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5.466666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,66.66666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
DILO-KAPA1,1000,1000,1000,0,3.1,1000,1000,1000,1.2,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
DILO-KAPA2,1000,1000,1000,3.1,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,6.133333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
DILO-KOLW1,1000,1000,1000,1000,1000,0,1.75,1000,3.666666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
DILO-KOLW2,1000,1000,1000,1000,1000,1.75,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5.733333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
DILO-KOLW3,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,10.66666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3.066666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Dilolo,1000,1000,1000,1.2,1000,3.666666667,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
FUNG-KOLW,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1.05,1000,1000,1000,1000,1000,1000,1000,1000,1000,2.4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3.2,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Fungurume,1000,1.633333333,1000,1000,1000,1000,1000,1000,1000,1.05,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.333333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kabalo,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,6,1000,13.33333333,1000,1000,1000,1.04,1000,1.533333333,1000,1.433333333,2.233333333,2.133333333,1000,1000,147,1000,1000,1000,2.26,1000,27.65,1000,2.62,0.626666667,1.38,1000,1000,1000,1000,1000,1000,1000,5.466666667,1000,1000,1000,1000,1000,1.44,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
KABO-KONG1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,15.46666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.15,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
KABO-MANO1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,6,1000,0,3.95,12.4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
KABO-MANO2,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3.95,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.633333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kabongo,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,13.33333333,15.46666667,12.4,1000,0,1000,1000,1000,1000,1000,8,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,12.53333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5.4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
KALE-KIAM1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,5.75,0.95,1000,1000,1000,1000,1000,1000,1000,1000,1000,4.566666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3.633333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
KALE-MOBA1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5.75,0,6.5,1.333333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
KALE-MOBA2,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.95,6.5,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2.6,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kalemie,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.04,1000,1000,1000,1000,1000,1.333333333,1000,0,1000,2.32,1000,2.413333333,3.2,2.066666667,1000,1000,1000,1000,1000,1000,2.78,1000,110.52,1000,2.773333333,1.026666667,45.29036667,1000,1000,1000,1000,1000,1000,0.433333333,1000,1000,1000,1000,1000,1000,1.186666667,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kambove,1000,2.5,1000,1000,1000,1000,1000,1000,1000,2.4,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.8,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,66.66666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kamina,1000,1000,5.466666667,1000,1000,1000,1000,10.66666667,1000,1000,1000,1.533333333,1000,1000,1000,8,1000,1000,1000,2.32,1000,0,1.25,0.673333333,1.08,1.806666667,1000,1000,1000,1000,1000,1000,0.946666667,1000,1.793333333,1000,1.773333333,1.3,2.32,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,66.66666667,1.786666667,1000,1000,3.933333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000
KANI-KAMI1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.25,0,6.533333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kaniama,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.433333333,1000,1000,1000,1000,1000,1000,1000,2.413333333,1000,0.673333333,6.533333333,0,0.793333333,2.406666667,1000,1000,1000,1000,1000,1000,1.6,1000,1.62,1000,2.446666667,1.493333333,2.56,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2.206666667,1000,1000,9.066666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000
Kapanga,1000,1000,1000,1000,6.133333333,1000,1000,1000,1000,1000,1000,2.233333333,1000,1000,1000,1000,1000,1000,1000,3.2,1000,1.08,1000,0.793333333,0,2.866666667,1000,1000,1000,1000,1000,1000,1.7,1000,2.413333333,1000,2.686666667,2.24,3.306666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2.853333333,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000
Kasenga,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2.133333333,1000,1000,1000,1000,1000,1000,1000,2.066666667,1000,1.806666667,1000,2.406666667,2.866666667,0,1000,1000,1000,3.266666667,110,1000,1.42,1000,2.406666667,1000,2.613333333,1.513333333,1.62,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,90.44,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000
KASU-MOKA1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0.533333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.966666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kasumbalesa,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.533333333,0,1000,1000,1000,1000,1000,1000,1000,1000,1.311111111,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kiambi,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,147,1000,1000,1000,1000,4.566666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,3.4,1000,1000,1000,1000,1000,1000,1000,1000,7.4,1000,1000,1000,1000,1000,7.566666667,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
KILW-KASE1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3.266666667,1000,1000,1000,0,2.3,1000,1000,1000,1000,1000,5.7,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kilwa,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,110,1000,1000,1000,2.3,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,10.26666667,1000,1000,1000,1000,1000,1000,1000,1000,1000,38.73333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kipushi,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,0.444444444,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kolwezi,1000,1000,1000,1000,1000,1000,5.733333333,3.066666667,1000,3.2,1000,2.26,1000,1000,1000,1000,1000,1000,1000,2.78,1000,0.946666667,1000,1.6,1.7,1.42,1000,1000,1000,1000,1000,1000,0,1000,2.553333333,1000,1.006666667,1.813333333,2.58,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.86,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000
KONG-NYUN1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1.8,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2.5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kongolo,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,27.65,1.15,1000,1000,1000,1000,1000,1000,110.52,1000,1.793333333,1000,1.62,2.413333333,2.406666667,1000,1000,1000,1000,1000,1000,2.553333333,1.8,0,1000,2.913333333,0.9,1.48,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.666666667,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000
Likasi,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.333333333,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.8,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1.755555556,1000,1000,1000,1000,1000,8.1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
